#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2017-12-13-10-14-01
#types
#time	string	addr	srcort	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
1295981607.382758	C8vqV22gVyxxMhcAX5	192.168.3.131	56165	65.54.95.140	80	tcp	http	5.890010	950	42392	SF	-	-	0	ShADdfFa	17	1642	33	43724	(empty)
1295981607.441019	CYtjoK1hiZu3tqF645	192.168.3.131	56166	65.54.95.216	80	tcp	http	5.831873	530	18113	SF	-	-	0	ShADadfF	11	982	17	18805	(empty)
1295981606.695853	CCJlkA3VumkFVDIcY8	192.168.3.131	56160	65.54.95.68	80	tcp	http	6.577114	710	168	SF	-	-	0	ShADadfF	6	962	5	380	(empty)
1295981611.086452	Cu0havJp4rnMMXYPj	192.168.3.131	58416	208.82.236.129	80	tcp	http	3.272835	623	2788	SF	-	-	0	ShADdfFa	5	835	5	3000	(empty)
1295981607.284481	CB2RkL2jT7uX82PzKi	192.168.3.131	56161	66.235.139.121	80	tcp	-	8.112317	6293	2048	RSTR	-	-	6293	ShAadr	3	132	8	2380	(empty)
1295981619.632686	CfzmIt31Bobqjpt2bg	192.168.3.131	58434	208.82.236.129	80	tcp	http	0.114771	627	3646	SF	-	-	0	ShADdfFa	5	839	6	3898	(empty)
1295981559.603835	CH6oSCXN6YmivV5na	192.168.3.131	57757	239.255.255.250	1900	udp	-	6.001114	744	0	S0	-	-	0	D	6	912	0	0	(empty)
1295981596.341061	C1KUN130B19IcZ9C5e	192.168.3.131	56134	66.235.133.62	80	tcp	-	24.965307	4054	1478	RSTR	-	-	4054	ShAadr	4	172	6	1730	(empty)
1295981619.941267	CoB7NB2dTnZdWrokP9	192.168.3.131	57878	72.14.203.102	80	tcp	-	1.464838	0	0	SF	-	-	0	^fAFa	2	80	2	80	(empty)
1295981621.841627	CPZU9P2B0D5CJWSxEb	192.168.3.131	58439	208.82.236.129	80	tcp	http	0.115140	596	2331	SF	-	-	0	ShADdfFa	5	808	5	2543	(empty)
1295981611.086852	CKVeHD4yO5Zg5vo5u7	192.168.3.131	58417	208.82.236.130	80	tcp	http	10.999201	443	10340	SF	-	-	0	ShADdfFa	8	775	11	10792	(empty)
1295981609.591183	CIbpdp3a1PlNtEGcy5	192.168.3.131	58411	204.9.163.166	80	tcp	http	12.614424	299	218	SF	-	-	0	ShADadfF	6	551	5	430	(empty)
1295981609.684965	CRIivn4Z9gHaaB09l3	192.168.3.131	56174	65.54.95.68	80	tcp	http	13.589864	669	173235	SF	-	-	0	ShADadfF	57	2961	123	178167	(empty)
1295981618.723119	C0vAw72kgqleaIXPvl	192.168.3.131	56194	65.54.95.68	80	tcp	http	4.551879	710	168	SF	-	-	0	ShADadfF	6	962	5	380	(empty)
1295981610.001883	CdfkfmvxP2BfPv9Ob	192.168.3.131	56175	65.54.95.75	80	tcp	http	13.273171	2057	501	SF	-	-	0	ShADadfF	9	2429	7	793	(empty)
1295981573.013593	CWe3B53opSkwKDYuGk	192.168.3.131	68	255.255.255.255	67	udp	dhcp	-	-	-	S0	-	-	0	D	1	328	0	0	(empty)
1295981627.867405	CJH2ch14rC2we51Zt	172.16.255.1	10616	204.9.163.158	80	tcp	http	0.150234	65	281	SF	-	-	0	ShADadfF	5	277	5	493	(empty)
1295981628.697272	CaAQ0C3i4odewKfQb5	10.0.2.15	2489	65.55.25.60	80	tcp	-	-	-	-	RSTOS0	-	-	0	R	1	40	0	0	(empty)
1295981621.891154	C0HLOs1Vbd8OqSOyGc	192.168.3.131	58440	208.82.236.129	80	tcp	http	6.937902	626	2788	SF	-	-	0	ShADdfFa	5	838	5	3000	(empty)
1295981627.060661	CYIJLwZHhgLb0M1Vb	192.168.3.131	57071	72.14.213.156	80	tcp	-	4.344782	0	0	SF	-	-	0	^fAFa	2	80	2	80	(empty)
1295981627.607568	Ciymza2f15YA8gVOA1	192.168.3.131	57032	72.14.213.167	80	tcp	-	3.797989	0	0	SF	-	-	0	^fAFa	2	80	2	80	(empty)
1295981632.288610	C1NxO3kdKkRg8rpjl	192.168.3.131	58464	208.82.236.129	80	tcp	http	0.273932	621	8724	SF	-	-	0	ShADadfF	7	913	10	9136	(empty)
1295981627.722597	CBdJVd4VF4nMkAxi11	192.168.3.131	56213	65.54.95.75	80	tcp	http	5.555330	710	167	SF	-	-	0	ShADadfF	6	962	5	379	(empty)
1295981627.723490	COXL6g25QaA2xB3Fg	192.168.3.131	56214	65.54.95.75	80	tcp	http	5.554560	710	167	SF	-	-	0	ShADadfF	6	962	5	379	(empty)
1295981635.087274	CKeblp4cifZoWoj7qg	172.16.255.1	10617	204.9.163.158	80	tcp	http	0.169915	65	281	SF	-	-	0	ShADadfF	5	277	5	493	(empty)
1295981636.397751	CL9xGK1eXP2Qo82Qc2	172.16.255.1	10618	204.9.163.158	80	tcp	http	0.152676	65	281	SF	-	-	0	ShADadfF	5	277	5	493	(empty)
1295981636.585007	CIt6By19LkzODd1f4e	172.16.255.1	10619	204.9.163.158	80	tcp	http	0.151154	65	281	SF	-	-	0	ShADadfF	5	277	5	493	(empty)
1295981638.602610	C0kV9s4fqzLrkZO0Wh	10.0.2.15	2498	65.55.25.60	443	tcp	-	0.000159	0	0	SHR	-	-	0	^fA	1	40	1	40	(empty)
1295981640.525502	C0YgWAY4g8qafqec9	172.16.255.1	10620	204.9.163.158	80	tcp	http	0.157061	65	281	SF	-	-	0	ShADadfF	5	277	5	493	(empty)
1295981641.055902	Cesgb64M11R6dvfTN9	172.16.255.1	10621	147.31.122.1	18165	tcp	-	-	-	-	S0	-	-	0	S	1	52	0	0	(empty)
1295981545.001246	CVWRsYtivpd8xYMC7	192.168.3.131	55968	72.14.213.101	80	tcp	http	96.404864	40451	6988	SF	-	-	38803	ShADadfF	8	1992	7	896	(empty)
1295981642.889920	CvhOh62N37KeMnd51a	192.168.3.131	58485	208.82.236.129	80	tcp	http	0.112593	591	2386	SF	-	-	0	ShADdfFa	5	803	5	2598	(empty)
1295981642.890348	CfT2v83rXpq4d4WnDl	192.168.3.131	58486	208.82.236.130	80	tcp	http	0.235555	443	8940	SF	-	-	0	ShADdFf	8	775	10	9352	(empty)
1295981643.008659	C2E2dJ19bDoXLCkB2a	192.168.3.131	58490	208.82.236.130	80	tcp	http	0.160657	443	9463	SF	-	-	0	ShADdfFa	7	735	10	9875	(empty)
1295981636.734837	Ci6tOa3YX0VwygSP1f	192.168.3.131	56233	65.54.95.68	80	tcp	http	6.543000	677	33525	SF	-	-	0	ShADadfF	16	1329	28	34657	(empty)
1295981636.735882	ClnGrkSX13eDjI5V1	192.168.3.131	56236	65.54.95.68	80	tcp	http	6.542136	660	4642	SF	-	-	0	ShADadfF	7	952	8	4974	(empty)
1295981636.735535	Ctlaqf2lCBVpDkfJDi	192.168.3.131	56235	65.54.95.68	80	tcp	http	6.542542	660	4313	SF	-	-	0	ShADadfF	7	952	7	4605	(empty)
